filename,filedir,qp,num_points,Enc_positions bitstream size,Enc_positions processing time (user),Enc_colors bitstream size,Enc_colors processing time (user),Enc_Total bitstream size,Enc_Processing time (wall),Enc_Processing time (user),Dec_positions bitstream size,Dec_positions processing time (user),Dec_colors bitstream size,Dec_colors processing time (user),Dec_Total bitstream size,Dec_Processing time (wall),Dec_Processing time (user),runtime,enctime,dectime,bpp_geo,bpp_att,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
model_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/model_vox11_00000001.ply,22,657755,46905.0,3.502,85123.0,4.985,132089.0,10.543,9.159,46905.0,1.105,85123.0,4.875,132089.0,9.045,6.12,19.618,10.554,9.064,0.57,1.035,0.0,inf,0.0,inf,6.43636e-05,2.235e-05,1.46313e-05,41.9136,46.5072,48.3472,41.914,43.292
model_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/model_vox11_00000001.ply,28,657755,46905.0,3.492,42175.0,5.022,89141.0,11.121,9.17,46905.0,0.996,42175.0,4.32,89141.0,8.039,5.469,19.189,11.132,8.057,0.57,0.513,0.0,inf,0.0,inf,0.000159931,3.64467e-05,2.43527e-05,37.9607,44.3834,46.1345,37.961,39.785
model_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/model_vox11_00000001.ply,34,657755,46905.0,3.473,18617.0,4.972,65583.0,10.519,9.18,46905.0,1.111,18617.0,4.374,65583.0,8.754,5.642,19.301,10.534,8.767,0.57,0.226,0.0,inf,0.0,inf,0.000393401,5.38613e-05,4.30292e-05,34.0517,42.6872,43.6624,34.052,36.332
model_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/model_vox11_00000001.ply,40,657755,46905.0,3.487,7855.0,5.039,54821.0,10.61,9.21,46905.0,1.05,7855.0,4.369,54821.0,8.66,5.581,19.292,10.62,8.673,0.57,0.096,0.0,inf,0.0,inf,0.00086035,7.21375e-05,7.00615e-05,30.6532,41.4184,41.5452,30.653,33.36
model_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/model_vox11_00000001.ply,46,657755,46905.0,3.516,3136.0,4.97,50102.0,10.509,9.1,46905.0,1.125,3136.0,4.309,50102.0,8.448,5.602,18.98,10.519,8.461,0.57,0.038,0.0,inf,0.0,inf,0.00173565,9.53816e-05,0.000110365,27.6054,40.2054,39.5717,27.605,30.676
model_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/model_vox11_00000001.ply,51,657755,46905.0,3.636,1390.0,5.083,48356.0,10.811,9.414,46905.0,1.055,1390.0,4.233,48356.0,9.033,5.443,19.868,10.822,9.046,0.57,0.017,0.0,inf,0.0,inf,0.00291009,0.000114261,0.000145239,25.3609,39.421,38.3792,25.361,28.746
