filedir,decdir,posQuantscale,num_points_raw,num_points,file_size,bpp,enc_time,enc_time_user,enc_time_wall,dec_time,dec_time_user,dec_time_wall,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",d3_psnr,d3_mse,rate
./output/geometry/octree21/mpeg_dense/House_without_roof_00057_vox12.ply,./output/geometry/octree21/mpeg_dense/House_without_roof_00057_vox12_R0_rec.ply,1.0,4848745,4848745,24275512,5.006556,55.931,48.249,55.882,27.977,15.849,27.837,0.0,inf,0.0,inf,216.3295,0.0,R0
./output/geometry/octree21/mpeg_dense/House_without_roof_00057_vox12.ply,./output/geometry/octree21/mpeg_dense/House_without_roof_00057_vox12_R1_rec.ply,0.75,4848745,4309399,18950088,3.908246,47.027,40.648,46.964,24.001,11.415,23.947,0.500117,80.0256,0.166568,84.8004,19.3056,7098.9007,R1
./output/geometry/octree21/mpeg_dense/House_without_roof_00057_vox12.ply,./output/geometry/octree21/mpeg_dense/House_without_roof_00057_vox12_R2_rec.ply,0.5,4848745,3638139,11009312,2.270549,37.58,30.71,37.518,16.493,7.952,16.437,1.50048,75.254,0.51115,79.9308,12.9182,14810.247,R2
./output/geometry/octree21/mpeg_dense/House_without_roof_00057_vox12.ply,./output/geometry/octree21/mpeg_dense/House_without_roof_00057_vox12_R3_rec.ply,0.25,4848745,1724414,2946304,0.607643,21.021,15.024,20.96,6.484,2.511,6.43,4.50105,70.4832,1.57041,75.0561,8.8516,23653.4964,R3
./output/geometry/octree21/mpeg_dense/House_without_roof_00057_vox12.ply,./output/geometry/octree21/mpeg_dense/House_without_roof_00057_vox12_R4_rec.ply,0.125,4848745,516125,609688,0.125741,13.032,7.162,12.96,2.085,0.692,2.031,16.5134,64.8379,6.31405,69.0132,7.8096,26668.1543,R4
./output/geometry/octree21/mpeg_dense/House_without_roof_00057_vox12.ply,./output/geometry/octree21/mpeg_dense/House_without_roof_00057_vox12_R5_rec.ply,0.0625,4848745,132569,134920,0.027826,10.833,4.989,10.768,0.578,0.174,0.523,64.4326,58.9252,25.5938,62.9349,7.5569,27455.5119,R5
./output/geometry/octree21/mpeg_dense/House_without_roof_00057_vox12.ply,./output/geometry/octree21/mpeg_dense/House_without_roof_00057_vox12_R6_rec.ply,0.03125,4848745,32651,33816,0.006974,9.909,4.131,9.848,0.246,0.051,0.19,256.704,52.922,100.434,56.9975,7.5163,27583.982,R6
