filedir,num_points_raw,num_points,max_num,n_parts,scale_AE,scale_SR,posQuantscale,file_size,lossless_file_size,ae_file_size,enc_time,dec_time,all_enc_time,all_dec_time,memory(GB),bpp,lossless_bpp,ae_bpp,psnr_resolution,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",d3_psnr,d3_mse,rate
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,1596085,1596085,400000.0,4,0,0,1,9728088,9727960,128,11.403,10.804,11.752,10.809,9.65,6.094969,6.094888,8e-05,4095,0.0,inf,0.0,inf,216.3295,0.0,0
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,1596085,1596085,400000.0,4,1,0,1,8178328,5343520,2834808,11.409,13.237,11.465,13.238,10.16,5.123993,3.347892,1.776101,4095,0.309978,82.103,0.097844,87.1109,32.1922,1610.1385,1
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,1596085,1596085,400000.0,4,0,1,1,5343776,5343520,256,8.327,10.446,8.425,10.45,10.16,3.348052,3.347892,0.00016,4095,0.979796,77.1049,0.299684,82.2496,30.292,2003.8975,2
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,1596085,1596085,400000.0,4,1,1,1,2672368,1766496,905872,6.537,10.904,6.578,10.907,10.16,1.674327,1.106768,0.567559,4095,2.44801,73.1282,0.563776,79.5052,26.6712,3040.2936,3
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,1596085,1596085,400000.0,4,0,2,1,1766880,1766496,384,4.979,9.886,5.133,9.888,10.16,1.107009,1.106768,0.000241,4095,3.03994,72.1876,0.710662,78.4997,27.6573,2713.9845,4
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,1596085,1596085,400000.0,4,1,2,1,702312,456240,246072,4.018,9.965,4.238,9.969,10.16,0.440022,0.285849,0.154172,4095,5.37282,69.7143,1.41769,75.5005,35.9686,1042.4212,5
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,1596085,1596085,400000.0,4,0,3,1,456752,456240,512,3.339,9.662,3.377,9.664,10.16,0.28617,0.285849,0.000321,4095,6.22144,69.0774,1.80602,74.4491,34.6082,1219.1627,6
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,1596085,1596085,400000.0,4,1,3,1,190728,126192,64536,2.61,9.92,2.682,9.924,10.16,0.119497,0.079063,0.040434,4095,14.7858,65.3178,5.49239,69.6187,34.4339,1243.876,7
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,1596085,1596085,400000.0,4,0,4,1,126832,126192,640,2.564,10.304,2.829,10.308,10.16,0.079464,0.079063,0.000401,4095,20.3245,63.9361,7.47837,68.2782,31.3658,1770.8569,8
