filedir,decdir,posQuantscale,num_points_raw,num_points,file_size,bpp,enc_time,enc_time_user,enc_time_wall,dec_time,dec_time_user,dec_time_wall,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",d3_psnr,d3_mse,rate
./output/geometry/octree21/8ivfb/soldier_vox10_0690.ply,./output/geometry/octree21/8ivfb/soldier_vox10_0690_R0_rec.ply,1.0,1089091,1089091,815088,0.748411,7.582,5.864,7.523,4.373,1.522,4.323,0.0,inf,0.0,inf,216.3295,0.0,R0
./output/geometry/octree21/8ivfb/soldier_vox10_0690.ply,./output/geometry/octree21/8ivfb/soldier_vox10_0690_R1_rec.ply,0.9375,1089091,971102,753464,0.691828,6.751,5.323,6.7,4.127,1.31,4.075,0.284695,70.4249,0.0899244,75.4299,24.3503,3971.5269,R1
./output/geometry/octree21/8ivfb/soldier_vox10_0690.ply,./output/geometry/octree21/8ivfb/soldier_vox10_0690_R2_rec.ply,0.875,1089091,857241,682016,0.626225,6.154,4.776,6.099,4.088,1.185,4.036,0.336315,69.7013,0.1022,74.8742,18.667,7640.5294,R2
./output/geometry/octree21/8ivfb/soldier_vox10_0690.ply,./output/geometry/octree21/8ivfb/soldier_vox10_0690_R3_rec.ply,0.75,1089091,646910,535920,0.49208,5.261,3.88,5.204,2.915,0.924,2.863,0.500624,67.9736,0.145533,73.3391,12.7712,15063.1135,R3
./output/geometry/octree21/8ivfb/soldier_vox10_0690.ply,./output/geometry/octree21/8ivfb/soldier_vox10_0690_R4_rec.ply,0.5,1089091,302931,244048,0.224084,3.72,2.349,3.668,1.299,0.422,1.245,1.49948,63.2093,0.444719,68.4879,8.2274,25415.699,R4
./output/geometry/octree21/8ivfb/soldier_vox10_0690.ply,./output/geometry/octree21/8ivfb/soldier_vox10_0690_R5_rec.ply,0.25,1089091,79278,79464,0.072964,2.958,1.391,2.907,0.416,0.113,0.366,4.50561,58.4312,1.90561,62.1684,6.3679,31483.2835,R5
./output/geometry/octree21/8ivfb/soldier_vox10_0690.ply,./output/geometry/octree21/8ivfb/soldier_vox10_0690_R6_rec.ply,0.125,1089091,19993,25000,0.022955,2.401,1.034,2.347,0.235,0.032,0.183,16.4796,52.7993,8.74296,55.5521,5.9792,32924.0898,R6
