filedir,num_points_raw,num_points,max_num,n_parts,scale_AE,scale_SR,posQuantscale,file_size,lossless_file_size,ae_file_size,enc_time,dec_time,all_enc_time,all_dec_time,memory(GB),bpp,lossless_bpp,ae_bpp,psnr_resolution,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",d3_psnr,d3_mse,rate
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,4848745,4848745,400000.0,16,0,0,1,23218720,23218208,512,32.171,30.681,32.682,30.699,10.16,4.788604,4.788498,0.000106,4095,0.0,inf,0.0,inf,216.3295,0.0,0
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,4848745,4848745,400000.0,16,1,0,1,15714768,10404200,5310568,29.539,34.353,29.969,34.365,10.16,3.240997,2.145751,1.095246,4095,0.480825,80.1964,0.113417,86.4695,23.0435,4616.3363,1
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,4848745,4848745,400000.0,16,0,1,1,10405224,10404200,1024,22.382,28.677,22.605,28.687,10.16,2.145962,2.145751,0.000211,4095,0.855957,77.6918,0.216105,83.6696,20.2801,6345.5353,2
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,4848745,4848745,400000.0,16,1,1,1,4358224,2808816,1549408,17.505,28.861,17.762,28.871,10.16,0.898835,0.579287,0.319548,4095,1.92451,74.1731,0.463936,80.3517,20.2787,6346.5768,3
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,4848745,4848745,400000.0,16,0,2,1,2810352,2808816,1536,14.962,27.818,15.418,27.83,10.16,0.579604,0.579287,0.000317,4095,2.2951,73.4083,0.58161,79.37,19.2029,7183.3484,4
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,4848745,4848745,400000.0,16,1,2,1,1042000,650256,391744,11.87,26.305,12.058,26.322,10.16,0.214901,0.134108,0.080793,4095,3.8803,71.1276,1.12993,76.4858,26.5174,3094.5783,5
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,4848745,4848745,400000.0,16,0,3,1,652304,650256,2048,10.222,25.794,10.457,25.802,10.16,0.13453,0.134108,0.000422,4095,4.52478,70.4603,1.37275,75.6404,27.0329,2916.2677,6
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,4848745,4848745,400000.0,16,1,3,1,283088,182512,100576,9.285,25.736,9.472,25.748,10.16,0.058384,0.037641,0.020743,4095,8.40823,67.7692,3.0404,72.187,31.1366,1818.2095,7
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,4848745,4848745,400000.0,16,0,4,1,185072,182512,2560,8.194,25.882,8.489,25.895,10.16,0.038169,0.037641,0.000528,4095,12.7488,65.9616,4.44213,70.5404,29.6905,2147.5829,8
