lmb,runtime,enctime,dectime,memory,density,variance,num_points,gpcc_bpp,bpp,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
32768,3.8902,3.8902,2.3968,10.96189,0.57473162,0.01282586,1061514.49,0.016,0.74004,0,inf,0,inf,5.80E-05,1.31E-05,9.64E-06,42.364609,48.838769,50.157842,42.36459,44.14801
16384,3.50382,3.50382,2.013,11.019,0.57473162,0.01282586,1061514.49,0.016,0.57372,0,inf,0,inf,8.37E-05,1.66E-05,1.25E-05,40.772968,47.804911,49.023041,40.77291,42.6832
8192,3.62632,3.62632,2.0952,11.019,0.57473162,0.01282586,1061514.49,0.016,0.4052,0,inf,0,inf,0.000130524,1.56E-05,1.21E-05,38.843966,48.07075,49.157538,38.84402,41.28656
4096,3.47734,3.47734,1.92797,11.019,0.57473162,0.01282586,1061514.49,0.016,0.29925,0,inf,0,inf,0.000192145,1.81E-05,1.37E-05,37.164328,47.434386,48.64007,37.16438,39.88256
2048,3.35359,3.35359,1.80009,11.019,0.57473162,0.01282586,1061514.49,0.016,0.19792,0,inf,0,inf,0.000311877,2.12E-05,1.59E-05,35.060767,46.73137,47.987416,35.06076,38.13544
1024,3.90933,3.90933,1.99018,11.019,0.57473162,0.01282586,1061514.49,0.016,0.13077,0,inf,0,inf,0.000487635,2.31E-05,1.94E-05,33.119671,46.360476,47.125051,33.11963,36.52544
512,3.28489,3.28489,1.63646,11.019,0.57473162,0.01282586,1061514.49,0.016,0.09191,0,inf,0,inf,0.000684808,2.58E-05,2.19E-05,31.644844,45.887827,46.603753,31.64485,35.2951
256,3.16091,3.16091,1.52242,11.019,0.57473162,0.01282586,1061514.49,0.016,0.06006,0,inf,0,inf,0.001013696,2.87E-05,2.43E-05,29.941536,45.429335,46.142843,29.94159,33.90265
128,3.01533,3.01533,1.41082,11.019,0.57473162,0.01282586,1061514.49,0.016,0.0419,0,inf,0,inf,0.001377163,3.00E-05,2.66E-05,28.610789,45.235889,45.757645,28.61081,32.83228
