filedir,posQuantscale,num_points_raw,num_points,file_size,bpp,enc_time,enc_time_user,enc_time_wall,dec_time,dec_time_user,dec_time_wall,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)"
./output/gpcc21_lossy_owlii/dancer_vox11_00000001.ply,1.0,702038,702038,424192,0.604229,3.526,2.869,3.491,2.105,0.657,2.067,0.0,inf,0.0,inf
./output/gpcc21_lossy_owlii/dancer_vox11_00000001.ply,0.9375,702038,620306,395584,0.563479,3.24,2.575,3.198,1.979,0.595,1.938,0.284741,70.4242,0.0899924,75.4267
./output/gpcc21_lossy_owlii/dancer_vox11_00000001.ply,0.875,702038,542497,362608,0.516508,2.987,2.364,2.948,1.65,0.519,1.612,0.336617,69.6974,0.1044,74.7817
./output/gpcc21_lossy_owlii/dancer_vox11_00000001.ply,0.75,702038,401695,285728,0.406998,2.784,2.051,2.745,1.252,0.398,1.209,0.501111,67.9694,0.145925,73.3274
./output/gpcc21_lossy_owlii/dancer_vox11_00000001.ply,0.5,702038,181981,131584,0.187431,1.782,1.18,1.749,0.585,0.187,0.546,1.4989,63.211,0.42399,68.6952
./output/gpcc21_lossy_owlii/dancer_vox11_00000001.ply,0.25,702038,46147,43608,0.062116,1.291,0.682,1.256,0.193,0.051,0.154,4.50999,58.427,1.85856,62.277
./output/gpcc21_lossy_owlii/dancer_vox11_00000001.ply,0.125,702038,11561,14368,0.020466,1.119,0.506,1.085,0.094,0.024,0.055,16.4944,52.7954,8.50755,55.6707
