posQuantscale,num_points_raw,num_points,file_size,bpp,enc_time,enc_time_user,enc_time_wall,dec_time,dec_time_user,dec_time_wall,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",d3_psnr,d3_mse
1.0,145852.85,145852.85,304549.6,2.1063964500000005,1.1658000000000004,0.8678499999999998,1.1178000000000001,0.76475,0.28564999999999996,0.7226,0.0,inf,0.0,inf,216.3294999999999,0.0
0.9375,145852.85,133173.5,264030.0,1.8303194999999999,1.0731,0.79715,1.0232499999999998,0.7921,0.24955000000000002,0.7452,0.28579395,70.41529,0.091527905,75.40619999999998,29.51501,2207.1507500000002
0.875,145852.85,120830.55,226222.4,1.5647491999999998,1.0123,0.72835,0.9551499999999999,0.7238000000000001,0.22840000000000002,0.6795000000000001,0.33995839999999994,69.65753000000001,0.11033236499999999,74.5724,24.135309999999997,4098.040439999999
0.75,145852.85,96783.7,158993.2,1.1029432,0.9106499999999998,0.6122500000000001,0.8514499999999998,0.564,0.17640000000000003,0.5210999999999999,0.50004345,67.980085,0.15465429999999997,73.092365,18.393415000000005,7927.528880000001
0.5,145852.85,51585.3,51791.2,0.3628966,0.68655,0.38499999999999995,0.6382999999999999,0.33904999999999996,0.09365,0.29664999999999997,1.500444,63.20684999999999,0.45519145000000005,68.38965999999998,13.12803,14538.728005
0.25,145852.85,13616.25,14652.8,0.105625,0.49965000000000004,0.2149,0.43389999999999995,0.1609,0.03020000000000001,0.11610000000000002,4.5003910000000005,58.43763,1.5096820000000002,63.19837,10.750174999999997,19116.684725
0.125,145852.85,3514.95,4822.0,0.036461549999999995,0.42725,0.15505000000000002,0.38345,0.11395000000000002,0.015400000000000002,0.0718,16.658070000000002,52.75553000000001,6.0127524999999995,57.211619999999996,10.297720000000002,20140.763145
