posQuantscale,num_points_raw,num_points,file_size,bpp,enc_time,enc_time_user,enc_time_wall,dec_time,dec_time_user,dec_time_wall,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",d3_psnr,d3_mse
1.0,119389.0,119389.0,2387852.0,20.0393464,2.2481999999999998,1.8945,2.2064999999999997,1.4012,0.9544,1.3602999999999998,0.0,inf,0.0,inf,216.3295,0.0
0.5,119389.0,119389.0,2029911.2,17.0413877,2.2064000000000004,1.9356000000000002,2.1658,1.3278999999999999,0.8985,1.2862,1.501131,92.54945999999998,0.5068185,97.26736999999999,72.81029,15.676260000000003
0.25,119389.0,119377.9,1670509.6,14.0309203,2.0669,1.7913999999999999,2.0267000000000004,1.285,0.8442999999999999,1.2453999999999998,4.498006000000001,87.78344999999999,1.5067879999999998,92.53339999999999,68.86744999999999,26.30385
0.125,119389.0,119098.9,1316358.4,11.0648179,1.9085999999999999,1.6056000000000001,1.8682000000000003,1.1727,0.7335,1.1301,16.49505,82.14009999999999,5.503242,86.90749,55.520920000000004,210.01219999999998
0.0625,119389.0,116115.1,968951.2,8.155073,1.6697,1.3519999999999999,1.6041,1.0012999999999999,0.5965,0.961,64.46822,76.22018999999999,21.425890000000003,81.00431999999999,33.03657,1840.2922800000001
0.03125,119389.0,101207.1,637369.6,5.3740942999999985,1.3207999999999998,1.0323999999999998,1.2801,0.8610999999999999,0.44620000000000004,0.8192,256.51099999999997,70.22258,85.73184,74.98232,18.802889999999998,7891.346769999999
0.015625,119389.0,74535.0,365786.4,3.0956001,0.9713,0.7011999999999999,0.9145999999999999,0.5885999999999999,0.29170000000000007,0.5476,1022.4870000000003,64.21709999999999,346.79630000000003,68.91311,12.872739999999999,15183.548130000001
0.0078125,119389.0,45756.7,180660.0,1.5369577,0.7311,0.4486,0.6898,0.45990000000000003,0.14450000000000002,0.4196,4132.812,58.15158,1409.701,62.824649999999984,10.351049999999999,20126.308630000003
0.00390625,119389.0,23754.8,78424.0,0.6702777,0.5498000000000001,0.26359999999999995,0.5084,0.29240000000000005,0.07849999999999999,0.2517,16620.82,52.107960000000006,5729.473,56.73592,9.42954,22333.947040000003
0.0019531199999999996,119389.0,10735.7,30942.4,0.2648138,0.4713,0.1786,0.43079999999999996,0.19619999999999999,0.0331,0.15360000000000001,68297.2,45.97218,23563.920000000002,50.60317000000001,9.15924,23035.522390000002
