posQuantscale,num_points_raw,num_points,file_size,bpp,enc_time,enc_time_user,enc_time_wall,dec_time,dec_time_user,dec_time_wall,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",d3_psnr,d3_mse
1.0,83320.3,83320.3,1852264.0,22.2180511,1.5650000000000002,1.3574,1.5272999999999999,1.0799999999999998,0.6714,1.0300999999999998,0.0,inf,0.0,inf,216.3295,0.0
0.5,83320.3,82007.2,1604666.4,19.246606300000003,1.5228000000000002,1.3205,1.4827,0.9833999999999999,0.6571,0.9389999999999998,1.494238,92.56944000000001,0.5319977,97.05530000000002,26.788580000000003,3134.45387
0.25,83320.3,81480.1,1359802.4,16.3084103,1.5423,1.3276,1.499,1.0685,0.6180999999999999,1.0289,4.487173,87.79392999999999,1.528551,92.47099000000001,23.84289,4389.411389999999
0.125,83320.3,81188.1,1118184.0,13.4094202,1.4395,1.2344,1.3981,0.9440999999999999,0.5996,0.9009,16.50621,82.13717000000001,5.532473,86.88449,22.545169999999995,5078.92965
0.0625,83320.3,80779.3,881883.2,10.5748923,1.2862,1.0772,1.2437,0.8699999999999999,0.5243,0.8305,64.53630000000001,76.21558999999999,21.479480000000002,80.99341000000001,21.607770000000002,5645.62117
0.03125,83320.3,78629.6,651728.0,7.8147734,1.1071,0.9020999999999999,1.0683,0.8046,0.4098,0.7635,256.2799,70.22649,85.30918000000001,75.00371999999999,20.06033,6703.3592499999995
0.015625,83320.3,69680.7,423596.0,5.0801603,0.9532999999999999,0.731,0.9115,0.6035999999999999,0.31690000000000007,0.5641,1016.1050000000001,64.24429,340.0583,68.99817,16.981620000000003,9409.99859
0.0078125,83320.3,49297.9,221013.6,2.6522869,0.7016,0.4648,0.6622000000000001,0.46259999999999996,0.19110000000000002,0.42269999999999996,4073.6420000000007,58.213829999999994,1360.2730000000001,62.977509999999995,12.785009999999996,15132.361179999998
0.00390625,83320.3,27352.2,100652.0,1.2087863000000003,0.5302999999999999,0.2786,0.48949999999999994,0.2529,0.0851,0.21100000000000002,15973.279999999999,52.27995,5549.106000000001,56.87161999999999,10.459769999999999,19778.9298
0.0019531199999999996,83320.3,12889.3,42272.0,0.5079040000000001,0.3734,0.1618,0.333,0.24659999999999999,0.04449999999999999,0.1854,63775.14,46.26738000000001,22451.269999999997,50.80415999999999,9.684700000000001,21640.67267
