lmb,runtime,enctime,dectime,memory,density,variance,num_points,gpcc_bpp,bpp,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
32768,4.75425,4.75425,3.27178,12.05533,0.51891586,0.06815403,792590.28,0.0149,0.38794,0,inf,0,inf,5.06E-05,2.33E-05,9.79E-06,42.95864,46.328814,50.091829,42.95867,44.27157
16384,4.40327,4.40327,2.9367,12.395,0.51891586,0.06815403,792590.28,0.0149,0.28943,0,inf,0,inf,6.60E-05,2.58E-05,1.13E-05,41.804887,45.886369,49.463234,41.80491,43.27233
8192,4.32404,4.32404,2.82275,12.395,0.51891586,0.06815403,792590.28,0.0149,0.16495,0,inf,0,inf,0.000108071,2.94E-05,1.52E-05,39.664754,45.326028,48.187998,39.66475,41.43782
4096,4.19487,4.19487,2.68986,12.395,0.51891586,0.06815403,792590.28,0.0149,0.12237,0,inf,0,inf,0.000137173,3.12E-05,1.73E-05,38.628782,45.057378,47.627957,38.62876,40.55727
2048,4.09411,4.09411,2.57982,12.395,0.51891586,0.06815403,792590.28,0.0149,0.08714,0,inf,0,inf,0.000189589,3.34E-05,2.01E-05,37.222927,44.770721,46.973762,37.22286,39.38527
1024,4.0227,4.0227,2.48927,12.395,0.51891586,0.06815403,792590.28,0.0149,0.06101,0,inf,0,inf,0.000290053,3.86E-05,2.43E-05,35.377211,44.140372,46.159327,35.37726,37.82041
512,4.0409,4.0409,2.44841,12.395,0.51891586,0.06815403,792590.28,0.0149,0.04506,0,inf,0,inf,0.000402281,4.03E-05,2.68E-05,33.957246,43.956521,45.724297,33.95725,36.67799
256,3.97871,3.97871,2.38229,12.395,0.51891586,0.06815403,792590.28,0.0149,0.03337,0,inf,0,inf,0.000563977,4.24E-05,2.93E-05,32.490146,43.733153,45.346986,32.49016,35.50266
128,3.91123,3.91123,2.31223,12.395,0.51891586,0.06815403,792590.28,0.0149,0.02717,0,inf,0,inf,0.000760045,4.42E-05,3.16E-05,31.194865,43.552958,45.012799,31.19484,34.46686
