filename,filedir,qp,num_points,Enc_positions bitstream size,Enc_positions processing time (user),Enc_colors bitstream size,Enc_colors processing time (user),Enc_Total bitstream size,Enc_Processing time (wall),Enc_Processing time (user),Dec_positions bitstream size,Dec_positions processing time (user),Dec_colors bitstream size,Dec_colors processing time (user),Dec_Total bitstream size,Dec_Processing time (wall),Dec_Processing time (user),runtime,enctime,dectime,bpp_geo,bpp_att,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
exercise_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/exercise_vox11_00000001.ply,22,645135,47269.0,3.443,46065.0,5.064,93395.0,10.374,9.184,47269.0,1.064,46065.0,4.29,93395.0,9.014,5.501,19.411,10.384,9.027,0.586,0.571,0.0,inf,0.0,inf,6.63487e-05,2.07143e-05,1.16077e-05,41.7817,46.8373,49.3525,41.782,43.36
exercise_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/exercise_vox11_00000001.ply,28,645135,47269.0,3.457,17329.0,4.989,64659.0,10.356,9.111,47269.0,1.024,17329.0,4.245,64659.0,9.148,5.431,19.53,10.368,9.162,0.586,0.215,0.0,inf,0.0,inf,0.000132296,2.92333e-05,1.47852e-05,38.7845,45.3412,48.3017,38.785,40.794
exercise_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/exercise_vox11_00000001.ply,34,645135,47269.0,3.353,6873.0,5.024,54203.0,10.378,9.035,47269.0,1.092,6873.0,4.217,54203.0,8.887,5.463,19.292,10.389,8.903,0.586,0.085,0.0,inf,0.0,inf,0.00023761,3.82835e-05,2.02183e-05,36.2413,44.1699,46.9426,36.241,38.57
exercise_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/exercise_vox11_00000001.ply,40,645135,47269.0,3.385,2941.0,4.937,50271.0,10.426,8.888,47269.0,1.079,2941.0,4.193,50271.0,9.082,5.43,19.531,10.435,9.095,0.586,0.036,0.0,inf,0.0,inf,0.000406779,5.01958e-05,2.89187e-05,33.9064,42.9933,45.3882,33.906,36.477
exercise_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/exercise_vox11_00000001.ply,46,645135,47269.0,3.52,1231.0,4.846,48561.0,10.505,9.052,47269.0,1.252,1231.0,4.215,48561.0,8.477,5.62,19.014,10.524,8.49,0.586,0.015,0.0,inf,0.0,inf,0.000716371,7.04214e-05,4.68642e-05,31.4486,41.523,43.2916,31.449,34.188
exercise_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/exercise_vox11_00000001.ply,51,645135,47269.0,3.403,630.0,4.967,47960.0,10.315,8.843,47269.0,0.828,630.0,4.019,47960.0,8.883,4.998,19.222,10.326,8.895,0.586,0.008,0.0,inf,0.0,inf,0.00109543,9.29443e-05,6.48973e-05,29.6042,40.3178,41.8777,29.604,32.478
