filename,filedir,qp,num_points,Enc_positions bitstream size,Enc_positions processing time (user),Enc_colors bitstream size,Enc_colors processing time (user),Enc_Total bitstream size,Enc_Processing time (wall),Enc_Processing time (user),Dec_positions bitstream size,Dec_positions processing time (user),Dec_colors bitstream size,Dec_colors processing time (user),Dec_Total bitstream size,Dec_Processing time (wall),Dec_Processing time (user),runtime,enctime,dectime,bpp_geo,bpp_att,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
basketball_player_vox11_00000200,/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/basketball_player_vox11_00000200.ply,22,796217,60565.0,4.253,57098.0,6.077,117724.0,12.81,11.092,60565.0,1.331,57098.0,5.274,117724.0,10.192,6.797,23.025,12.82,10.205,0.609,0.574,0.0,inf,0.0,inf,5.25045e-05,2.11334e-05,9.65603e-06,42.798,46.7503,50.152,42.798,44.211
basketball_player_vox11_00000200,/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/basketball_player_vox11_00000200.ply,28,796217,60565.0,4.164,26524.0,6.005,87150.0,12.652,10.993,60565.0,1.273,26524.0,5.301,87150.0,10.759,6.751,23.446,12.665,10.781,0.609,0.267,0.0,inf,0.0,inf,0.000108749,3.02017e-05,1.36441e-05,39.6357,45.1997,48.6506,39.636,41.458
basketball_player_vox11_00000200,/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/basketball_player_vox11_00000200.ply,34,796217,60565.0,4.466,11944.0,6.207,72570.0,14.315,11.571,60565.0,1.298,11944.0,5.281,72570.0,10.496,6.79,24.863,14.327,10.535,0.609,0.12,0.0,inf,0.0,inf,0.000232017,4.08085e-05,1.98246e-05,36.3448,43.8925,47.028,36.345,38.624
basketball_player_vox11_00000200,/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/basketball_player_vox11_00000200.ply,40,796217,60565.0,4.252,5243.0,6.591,65869.0,14.242,11.532,60565.0,1.32,5243.0,5.25,65869.0,10.669,6.756,24.987,14.264,10.724,0.609,0.053,0.0,inf,0.0,inf,0.000477335,5.27945e-05,2.98055e-05,33.2118,42.7741,45.257,33.212,35.913
basketball_player_vox11_00000200,/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/basketball_player_vox11_00000200.ply,46,796217,60565.0,4.188,2150.0,6.144,62776.0,13.291,11.101,60565.0,1.362,2150.0,5.285,62776.0,10.638,6.834,23.983,13.315,10.668,0.609,0.022,0.0,inf,0.0,inf,0.000950431,6.76633e-05,4.46667e-05,30.2208,41.6965,43.5002,30.221,33.315
basketball_player_vox11_00000200,/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/basketball_player_vox11_00000200.ply,51,796217,60565.0,4.216,1009.0,5.906,61635.0,13.185,10.908,60565.0,1.062,1009.0,5.308,61635.0,10.983,6.529,24.228,13.219,11.009,0.609,0.01,0.0,inf,0.0,inf,0.0016044,8.61592e-05,6.32476e-05,27.9469,40.647,41.9896,27.947,31.29
