bpp,pcqm
0.058426706,0.9827092
0.076878792,0.9844023
0.116346568,0.9871701
0.138324529,0.9880507
0.199402988,0.9895554
0.305076435,0.99116301
0.386472756,0.99165995
0.481899125,0.9923939
0.539811641,0.99287151
0.616631668,0.99330608
