filename,filedir,qp,num_points,Enc_positions bitstream size,Enc_positions processing time (user),Enc_colors bitstream size,Enc_colors processing time (user),Enc_Total bitstream size,Enc_Processing time (wall),Enc_Processing time (user),Dec_positions bitstream size,Dec_positions processing time (user),Dec_colors bitstream size,Dec_colors processing time (user),Dec_Total bitstream size,Dec_Processing time (wall),Dec_Processing time (user),runtime,enctime,dectime,bpp_geo,bpp_att,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
redandblack_vox10_1550,/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/redandblack_vox10_1550.ply,22,757691,79510.0,4.417,108580.0,5.923,188151.0,13.505,11.094,79510.0,1.267,108580.0,5.131,188151.0,10.124,6.603,23.656,13.515,10.141,0.839,1.146,0.0,inf,0.0,inf,5.46438e-05,2.68478e-05,3.56643e-05,42.6246,45.7109,44.4777,42.625,43.242
redandblack_vox10_1550,/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/redandblack_vox10_1550.ply,28,757691,79510.0,4.057,50593.0,6.034,130164.0,13.228,10.881,79510.0,1.36,50593.0,5.043,130164.0,9.156,6.559,22.408,13.238,9.17,0.839,0.534,0.0,inf,0.0,inf,0.000126548,4.39689e-05,8.37212e-05,38.9774,43.5685,40.7716,38.977,39.776
redandblack_vox10_1550,/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/redandblack_vox10_1550.ply,34,757691,79510.0,4.059,21792.0,6.028,101363.0,13.413,10.894,79510.0,1.324,21792.0,5.016,101363.0,9.765,6.502,23.202,13.423,9.779,0.839,0.23,0.0,inf,0.0,inf,0.00026938,6.65874e-05,0.000201309,35.6963,41.7661,36.9614,35.696,36.613
redandblack_vox10_1550,/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/redandblack_vox10_1550.ply,40,757691,79510.0,4.367,9273.0,6.059,88844.0,13.587,11.15,79510.0,1.4,9273.0,5.108,88844.0,9.947,6.685,23.561,13.598,9.963,0.839,0.098,0.0,inf,0.0,inf,0.000497146,9.92301e-05,0.000463365,33.0352,40.0336,33.3408,33.035,33.948
redandblack_vox10_1550,/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/redandblack_vox10_1550.ply,46,757691,79510.0,4.006,3685.0,5.95,83256.0,12.956,10.666,79510.0,1.367,3685.0,5.152,83256.0,9.906,6.697,22.897,12.965,9.932,0.839,0.039,0.0,inf,0.0,inf,0.000841723,0.000145212,0.000993978,30.7483,38.38,30.0262,30.748,31.612
redandblack_vox10_1550,/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/redandblack_vox10_1550.ply,51,757691,79510.0,4.099,1528.0,5.845,81099.0,13.094,10.723,79510.0,1.316,1528.0,5.262,81099.0,10.144,6.76,23.267,13.106,10.161,0.839,0.016,0.0,inf,0.0,inf,0.00134335,0.000197951,0.00166632,28.7181,37.0344,27.7824,28.718,29.641
