num_points_raw,file_size,bpp,num_points,enc_time,all_enc_time,dec_time,all_dec_time,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",offset_mseF      (p2point),"offset_mseF,PSNR (p2point)",offset_mseF      (p2plane),"offset_mseF,PSNR (p2plane)",rate
83259.75,1607525.2,19.280949999999997,83259.75,5.9822500000000005,6.08385,5.41935,5.5433,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0
83259.75,1374598.4,16.4851,81962.29999999999,5.219700000000001,5.3284,4.6391,4.770099999999999,1.4999545,92.552895,0.49958525,97.327635,1.4901114999999998,92.58147500000001,0.4976735,97.3443,1.0
83259.75,1140342.7999999998,13.6729,81429.2,4.2953,4.4024,3.8943,4.014200000000001,4.4997105,87.781825,1.5041195,92.540915,4.48164,87.79928,1.4988885,92.55604,2.0
83259.75,917735.2,11.0014,81111.65,3.3681499999999995,3.47025,3.1055,3.2260999999999997,16.527255,82.131645,5.511044999999999,86.90137999999999,16.402195,82.16464,5.4836595,86.92302000000001,3.0
83259.75,707944.8,8.4846,80654.04999999999,2.4873,2.5968,2.2902500000000003,2.4095000000000004,64.52624,76.216315,21.538249999999998,80.98156499999999,62.190490000000004,76.37644,20.467475,81.20309,4.0
83259.75,514190.0,6.161999999999999,78418.05,1.6437999999999997,1.7479000000000002,1.5458500000000002,1.6558,255.91735,70.23282999999999,84.97475,75.02081999999999,218.08685000000003,70.92921499999999,68.47313,75.95971,5.0
83259.75,327773.19999999995,3.9286999999999996,69483.1,1.20595,1.3129499999999998,1.1380499999999998,1.2347000000000001,1026.3635,64.20089000000002,339.8166,69.001315,784.83565,65.37231499999999,222.47705000000002,70.846565,6.0
83259.75,177045.6,2.1242,49188.3,1.0277500000000002,1.1355999999999997,0.9657,1.0418999999999998,4087.4294999999993,58.199425000000005,1367.2219999999998,62.955635,2969.6385,59.592245000000005,749.2891,65.576115,7.0
83259.75,84323.2,1.0128999999999997,27373.4,0.8527,0.9597,0.78355,0.8253,16290.75,52.194739999999996,5553.361500000001,56.86891,11520.785,53.703755,2615.5924999999997,60.155680000000004,8.0
83259.75,37812.8,0.45470000000000005,12836.8,0.7025000000000001,0.80535,0.62765,0.6468,66052.37,46.11579999999999,22613.07,50.772795,46193.899999999994,47.672345,10078.552,54.289485,9.0
