filedir,decdir,posQuantscale,num_points_raw,num_points,file_size,bpp,enc_time,enc_time_user,enc_time_wall,dec_time,dec_time_user,dec_time_wall,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",d3_psnr,d3_mse,rate
./output/geometry/octree21/8ivfb/redandblack_vox10_1550.ply,./output/geometry/octree21/8ivfb/redandblack_vox10_1550_R0_rec.ply,1.0,757691,757691,632040,0.834166,5.308,3.939,5.245,3.332,1.139,3.277,0.0,inf,0.0,inf,216.3295,0.0,R0
./output/geometry/octree21/8ivfb/redandblack_vox10_1550.ply,./output/geometry/octree21/8ivfb/redandblack_vox10_1550_R1_rec.ply,0.9375,757691,675478,578608,0.763646,4.577,3.616,4.522,2.829,0.889,2.779,0.287261,70.386,0.0918131,75.3397,27.6088,2729.1862,R1
./output/geometry/octree21/8ivfb/redandblack_vox10_1550.ply,./output/geometry/octree21/8ivfb/redandblack_vox10_1550_R2_rec.ply,0.875,757691,596730,521920,0.68883,4.236,3.244,4.183,2.58,0.801,2.528,0.336389,69.7003,0.102348,74.8679,21.6687,5407.9981,R2
./output/geometry/octree21/8ivfb/redandblack_vox10_1550.ply,./output/geometry/octree21/8ivfb/redandblack_vox10_1550_R3_rec.ply,0.75,757691,450341,405824,0.535606,3.755,2.676,3.703,1.898,0.606,1.848,0.500149,67.9777,0.145671,73.335,15.8867,10522.9113,R3
./output/geometry/octree21/8ivfb/redandblack_vox10_1550.ply,./output/geometry/octree21/8ivfb/redandblack_vox10_1550_R4_rec.ply,0.5,757691,211198,184352,0.243308,2.631,1.635,2.58,0.998,0.286,0.947,1.49855,63.212,0.442252,68.512,10.9266,18627.0599,R4
./output/geometry/octree21/8ivfb/redandblack_vox10_1550.ply,./output/geometry/octree21/8ivfb/redandblack_vox10_1550_R5_rec.ply,0.25,757691,54910,57512,0.075904,1.94,0.947,1.88,0.31,0.076,0.262,4.50135,58.4353,1.8621,62.2687,8.8091,23769.3477,R5
./output/geometry/octree21/8ivfb/redandblack_vox10_1550.ply,./output/geometry/octree21/8ivfb/redandblack_vox10_1550_R6_rec.ply,0.125,757691,13867,18232,0.024063,1.731,0.701,1.677,0.174,0.032,0.123,16.4832,52.7983,8.55177,55.6482,8.3699,25002.1463,R6
