rate,FrameNum,num_points,Enc_positions bitstream size,Enc_positions processing time (user),Enc_colors bitstream size,Enc_colors processing time (user),Enc_Total frame size,Enc_Total bitstream size,Enc_Processing time (wall),Enc_Processing time (user),Dec_positions bitstream size,Dec_positions processing time (user),Dec_colors bitstream size,Dec_colors processing time (user),Dec_Total bitstream size,Dec_Processing time (wall),Dec_Processing time (user),bpp_geo,bpp_att,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
1.0,585.5,1061514.49,80569.24,55.79110000000001,191.63,12.739650000000001,80823.87,8082387.0,7194.24,6956.65,80569.24,7.29563,191.63,11.211459999999999,8082387.0,2395.2300000000005,1875.3399999999997,0.6071974800000001,0.0014441699999999998,0.0,inf,0.0,inf,0.0027134605,6.3150937e-05,6.1750127e-05,25.665542999999992,41.996658000000004,42.09414200000001,25.665519999999997,29.760450000000002
2.0,585.5,1061514.49,80569.24,56.794170000000015,441.62,12.957869999999998,81073.86,8107386.0,7538.380000000001,7081.87,80569.24,7.3080099999999995,441.62,11.212150000000003,8107386.0,2391.91,1876.69,0.6071974800000001,0.0033281499999999998,0.0,inf,0.0,inf,0.0017927340000000003,4.620697199999999e-05,4.444554700000001e-05,27.465676,43.353486,43.52258,27.465679999999992,31.45876
3.0,585.5,1061514.49,80569.24,55.878959999999985,2194.26,12.73692,82826.5,8282650.0,7212.060000000001,6967.310000000001,80569.24,7.244460000000001,2194.26,11.0293,8282650.0,2294.6099999999997,1851.8599999999997,0.6071974800000001,0.01653624,0.0,inf,0.0,inf,0.00096526813,3.1981222e-05,2.8602009999999996e-05,30.154591000000003,44.951755999999996,45.436597,30.15461,33.91448
4.0,585.5,1061514.49,80569.24,55.87063999999999,11584.72,12.746149999999998,92216.96,9221696.0,7209.689999999999,6965.810000000001,80569.24,7.221730000000001,11584.72,11.096899999999998,9221696.0,2309.1899999999996,1856.2799999999997,0.6071974800000001,0.08730556,0.0,inf,0.0,inf,0.00045101709000000003,2.2197151999999993e-05,1.9121328e-05,33.458817999999994,46.53747800000001,47.185615,33.458830000000006,36.80945
5.0,585.5,1061514.49,80569.24,56.574720000000006,39614.82,12.977929999999999,120247.06,12024706.0,7527.780000000002,7059.96,80569.24,7.249020000000001,39614.82,11.14921,12024706.0,2377.59,1864.299999999999,0.6071974800000001,0.29855204999999996,0.0,inf,0.0,inf,0.00018606169000000001,1.4874988e-05,1.2587847000000002e-05,37.303821,48.27644800000001,49.001464000000006,37.30383,40.13758
6.0,585.5,1061514.49,80569.24,55.82005999999999,97789.32,12.909920000000001,178421.56,17842156.0,7318.780000000002,6978.21,80569.24,7.220840000000001,97789.32,11.191479999999999,17842156.0,2373.7699999999995,1865.700000000001,0.6071974800000001,0.73698054,0.0,inf,0.0,inf,7.2864784e-05,9.8250176e-06,8.362179200000002e-06,41.374944000000006,50.07788700000001,50.777904,41.374939999999995,43.6382
