qp,num_points,Enc_Slice number,Enc_positions bitstream size,Enc_positions processing time (user),Enc_reflectances bitstream size,Enc_reflectances processing time (user),Enc_Total bitstream size,Enc_Processing time (wall),Enc_Processing time (user),Dec_positions bitstream size,Dec_positions processing time (user),Dec_reflectances bitstream size,Dec_reflectances processing time (user),Dec_Total bitstream size,Dec_Processing time (wall),Dec_Processing time (user),runtime,enctime,dectime,bpp_geo,bpp_att,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","   r,PSNR   F",PSNR
16.0,119659.9,1.0,301991.0,1.8707,41339.9,0.8638,343389.9,2.9544999999999995,2.7939999999999996,301991.0,1.0433999999999999,41339.9,0.8045,343389.9,2.5665,1.8618,5.568600000000001,2.972,2.5965999999999996,20.214199999999998,2.7588999999999997,0.0,inf,0.0,inf,94.65717000000001,94.65717000000001
22.0,119659.9,1.0,301991.0,1.9113,25813.2,0.8614,327864.2,3.0012999999999996,2.8334,301991.0,0.9911999999999999,25813.2,0.7908999999999999,327864.2,2.4792,1.7954999999999999,5.5183,3.0199000000000003,2.4983999999999993,20.214199999999998,1.7218,0.0,inf,0.0,inf,88.43645,88.43645
28.0,119659.9,1.0,301991.0,1.7965,13008.4,0.8545,315059.4,2.8835,2.7044,301991.0,0.9974999999999999,13008.4,0.7765000000000001,315059.4,2.4835000000000003,1.7883,5.3993,2.9004000000000003,2.4987,20.214199999999998,0.8671000000000001,0.0,inf,0.0,inf,83.57392999999999,83.57392999999999
34.0,119659.9,1.0,301991.0,1.9286999999999999,3685.6,0.8541000000000001,305736.6,3.0265999999999997,2.845,301991.0,1.0065000000000002,3685.6,0.7721,305736.6,2.3891,1.7906000000000002,5.4516,3.0459000000000005,2.4056,20.214199999999998,0.24609999999999999,0.0,inf,0.0,inf,79.40307000000001,79.40307000000001
40.0,119659.9,1.0,301991.0,1.891,722.9,0.8556000000000001,302773.9,2.9649999999999994,2.8068,301991.0,1.1405,722.9,0.7728999999999999,302773.9,2.5956,1.9254000000000002,5.596099999999999,2.9851,2.6110999999999995,20.214199999999998,0.0484,0.0,inf,0.0,inf,77.29521000000001,77.29521000000001
46.0,119659.9,1.0,301991.0,1.889,168.7,0.8554,302219.7,3.032,2.8052,301991.0,0.9924999999999999,168.7,0.7743,302219.7,2.4303999999999997,1.779,5.498,3.0523000000000002,2.4457,20.214199999999998,0.0112,0.0,inf,0.0,inf,76.14946,76.14946
