filedir,num_points_raw,num_points,max_num,n_parts,scale_AE,scale_SR,posQuantscale,file_size,lossless_file_size,ae_file_size,enc_time,dec_time,all_enc_time,all_dec_time,memory(GB),bpp,lossless_bpp,ae_bpp,psnr_resolution,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",d3_psnr,d3_mse,rate
/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/longdress_vox10_1300.ply,857966,857966,1200000.0,1,0,0,1,539848,539816,32,1.429,1.274,1.44,1.275,5.49,0.629218,0.629181,3.7e-05,1023,0.0,inf,0.0,inf,216.3295,0.0,0
/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/longdress_vox10_1300.ply,857966,857966,1200000.0,1,1,0,1,226952,141936,85016,0.904,0.995,0.912,0.996,5.49,0.264523,0.165433,0.09909,1023,0.0647881,76.8538,0.024429,81.0897,33.5302,1380.273,1
/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/longdress_vox10_1300.ply,857966,857966,1200000.0,1,0,1,1,142000,141936,64,0.686,0.906,0.692,0.907,5.49,0.165508,0.165433,7.5e-05,1023,0.115925,74.3269,0.0546328,77.5942,34.0215,1304.3642,2
/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/longdress_vox10_1300.ply,857966,857966,1200000.0,1,1,1,1,65672,43136,22536,0.521,0.792,0.699,0.793,5.49,0.076544,0.050277,0.026267,1023,0.203271,71.888,0.104417,74.781,31.5283,1738.0269,3
/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/longdress_vox10_1300.ply,857966,857966,1200000.0,1,0,2,1,43232,43136,96,0.47,0.762,0.478,0.764,5.49,0.050389,0.050277,0.000112,1023,0.319576,69.923,0.192921,72.1149,30.3413,1992.5409,4
/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/longdress_vox10_1300.ply,857966,857966,1200000.0,1,1,2,1,20376,14296,6080,0.386,0.699,0.393,0.699,5.49,0.023749,0.016663,0.007087,1023,0.817462,65.844,0.610475,67.112,25.3353,3545.7652,5
/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/longdress_vox10_1300.ply,857966,857966,1200000.0,1,0,3,1,14424,14296,128,0.369,0.705,0.403,0.706,5.49,0.016812,0.016663,0.000149,1023,1.42301,63.4366,1.15823,64.3308,23.371,4445.5489,6
/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/longdress_vox10_1300.ply,857966,857966,1200000.0,1,1,3,1,7208,5520,1688,0.332,0.691,0.376,0.692,5.49,0.008401,0.006434,0.001967,1023,5.86086,57.2891,5.3604,57.6768,18.8207,7506.4964,7
/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/longdress_vox10_1300.ply,857966,857966,1200000.0,1,0,4,1,5680,5520,160,0.259,0.623,0.321,0.625,5.49,0.00662,0.006434,0.000186,1023,8.48901,55.6802,7.86613,56.0111,17.5999,8639.3142,8
