bits_gpcc,bits_lossless,bits_lossy,bits,num_points,bpp_gpcc,bpp_lossless,bpp_lossy,bpp,enc_time,dec_time,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",resolution
695.76,296832.16,0.0,297527.92,664601.03,0.0010000000000000002,0.4466000000000001,0.0,0.44764000000000004,1.7528700000000002,1.57441,0.0,inf,0.0,inf,1023.0
695.76,82949.52,58717.92,142363.2,664601.03,0.0010000000000000007,0.12475000000000007,0.08840000000000005,0.21421000000000004,1.1432499999999999,1.1912799999999997,0.043301020999999974,78.60427600000001,0.016471868999999993,82.80175299999999,1023.0
695.76,82949.52,32.0,83677.28,664601.03,0.0010000000000000007,0.12475000000000007,0.0,0.12588000000000002,0.9696500000000001,1.08351,0.08617303399999995,75.61549999999995,0.043160355,78.61956600000002,1023.0
695.76,25135.44,19427.36,45258.56,664601.03,0.0010000000000000007,0.03780999999999994,0.02906999999999995,0.06811999999999993,0.8151300000000002,0.98228,0.14765820999999998,73.27708500000003,0.075980332,76.16373999999999,1023.0
695.76,25135.44,64.0,25895.2,664601.03,0.0010000000000000007,0.03780999999999994,0.0,0.03893000000000005,0.69836,0.94949,0.2444613899999999,71.08767,0.14510663000000001,73.35432599999996,1023.0
695.76,8071.28,96.0,8863.04,664601.03,0.0010000000000000007,0.012020000000000006,0.0,0.013199999999999995,0.5232699999999999,0.8346699999999997,1.03596672,64.82122899999997,0.8017111199999996,65.93709700000004,1023.0
