qp,num_points,Enc_positions bitstream size,Enc_positions processing time (user),Enc_colors bitstream size,Enc_colors processing time (user),Enc_Total bitstream size,Enc_Processing time (wall),Enc_Processing time (user),Dec_positions bitstream size,Dec_positions processing time (user),Dec_colors bitstream size,Dec_colors processing time (user),Dec_Total bitstream size,Dec_Processing time (wall),Dec_Processing time (user),runtime,enctime,dectime,bpp_geo,bpp_att,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
22.0,791586.25,57989.6,3.177949999999999,57825.65,4.943200000000001,115876.15,9.964649999999999,8.7132,57989.6,0.9722,57825.65,4.3469999999999995,115876.15,7.822800000000001,5.4606,17.81595,9.977800000000002,7.837999999999999,0.5859,0.5844499999999999,0.0,inf,0.0,inf,5.565943e-05,1.9762145e-05,9.718144000000001e-06,42.544965000000005,47.04321,50.12582,42.545049999999996,44.05485000000001
28.0,791586.25,57989.6,3.18865,27509.25,4.953250000000001,85559.75,9.828050000000003,8.70845,57989.6,0.9912999999999998,27509.25,4.36485,85559.75,7.9223,5.499550000000001,17.77885,9.8408,7.9381,0.5859,0.27805,0.0,inf,0.0,inf,0.0001129321,2.7442985000000004e-05,1.4081864999999999e-05,39.4728,45.61897,48.515785,39.47285,41.37129999999999
34.0,791586.25,57989.6,3.1992499999999997,12645.05,4.96755,70695.55,9.842849999999999,8.743799999999998,57989.6,1.0023500000000003,12645.05,4.3764,70695.55,7.93565,5.52325,17.807000000000002,9.855450000000001,7.9514499999999995,0.5859,0.12785,0.0,inf,0.0,inf,0.00024109754999999998,3.700591499999999e-05,2.218797e-05,36.17999000000001,44.32094500000001,46.54258,36.17994999999999,38.49285
40.0,791586.25,57989.6,3.1814999999999998,5624.05,4.955499999999999,63674.55,9.788249999999998,8.7158,57989.6,0.9938499999999999,5624.05,4.355600000000001,63674.55,7.889999999999999,5.490049999999999,17.707650000000005,9.80125,7.906350000000001,0.5859,0.05685,0.0,inf,0.0,inf,0.0004993603,4.8058735e-05,3.4650635e-05,33.018550000000005,43.18606,44.606359999999995,33.018499999999996,35.737950000000005
46.0,791586.25,57989.6,3.1781999999999995,2373.9,4.9187,60424.4,9.766099999999998,8.665000000000003,57989.6,0.99655,2373.9,4.326500000000001,60424.4,7.853350000000001,5.4648,17.648300000000003,9.77915,7.868999999999998,0.5859,0.024000000000000007,0.0,inf,0.0,inf,0.0009944483,6.378698e-05,5.292387e-05,30.028144999999995,41.957840000000004,42.768539999999994,30.02815,33.1118
51.0,791586.25,57989.6,3.18535,1122.3,4.940049999999999,59172.8,9.792599999999998,8.70435,57989.6,0.9839,1122.3,4.366249999999999,59172.8,7.9107,5.4962,17.7319,9.805250000000001,7.926450000000001,0.5859,0.011300000000000003,0.0,inf,0.0,inf,0.0016754985,8.354055e-05,7.459357e-05,27.762514999999997,40.784305,41.279055,27.762449999999994,31.079900000000002
