filename,filedir,qp,num_points,Enc_Slice number,Enc_positions bitstream size,Enc_positions processing time (user),Enc_colors bitstream size,Enc_colors processing time (user),Enc_Total bitstream size,Enc_Processing time (wall),Enc_Processing time (user),Dec_positions bitstream size,Dec_positions processing time (user),Dec_colors bitstream size,Dec_colors processing time (user),Dec_Total bitstream size,Dec_Processing time (wall),Dec_Processing time (user),runtime,enctime,dectime,bpp_geo,bpp_att,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
Staue_Klimt_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Staue_Klimt_vox12.ply,22,499660,1.0,592179.0,4.205,200294.0,3.855,792531.0,10.005,8.431,592179.0,1.894,200294.0,3.449,792531.0,6.918,5.411,16.955,10.02,6.935,9.481,3.207,0.0,inf,0.0,inf,9.82569e-05,6.31038e-05,5.20789e-05,40.0764,41.9994,42.8334,40.076,40.661
Staue_Klimt_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Staue_Klimt_vox12.ply,28,499660,1.0,592179.0,4.09,108346.0,4.204,700583.0,9.522,8.627,592179.0,2.624,108346.0,3.567,700583.0,7.541,6.251,17.087,9.534,7.553,9.481,1.735,0.0,inf,0.0,inf,0.000304679,0.000138206,0.000108778,35.1616,38.5947,39.6346,35.162,36.15
Staue_Klimt_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Staue_Klimt_vox12.ply,34,499660,1.0,592179.0,3.881,48383.0,3.857,640620.0,8.996,8.084,592179.0,2.552,48383.0,3.401,640620.0,7.28,6.026,16.307,9.011,7.296,9.481,0.775,0.0,inf,0.0,inf,0.000912839,0.00027664,0.000209505,30.3961,35.5809,36.7881,30.396,31.843
Staue_Klimt_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Staue_Klimt_vox12.ply,40,499660,1.0,592179.0,3.937,17736.0,3.868,609973.0,9.111,8.171,592179.0,2.351,17736.0,3.969,609973.0,7.744,6.376,16.881,9.123,7.758,9.481,0.284,0.0,inf,0.0,inf,0.00226945,0.00047777,0.000351143,26.4408,33.2078,34.5452,26.441,28.3
Staue_Klimt_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Staue_Klimt_vox12.ply,46,499660,1.0,592179.0,4.694,5809.0,3.855,598046.0,9.853,8.932,592179.0,2.426,5809.0,3.389,598046.0,7.089,5.875,16.974,9.87,7.105,9.481,0.093,0.0,inf,0.0,inf,0.00445866,0.000800652,0.000526284,23.508,30.9656,32.7878,23.508,25.6
Staue_Klimt_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Staue_Klimt_vox12.ply,51,499660,1.0,592179.0,3.856,2213.0,3.801,594450.0,8.815,7.931,592179.0,2.219,2213.0,3.382,594450.0,6.888,5.659,15.733,8.829,6.904,9.481,0.035,0.0,inf,0.0,inf,0.00700092,0.00117507,0.00071834,21.5485,29.2993,31.4367,21.549,23.753
