filedir,num_points_raw,num_points,max_num,n_parts,scale_AE,scale_SR,posQuantscale,file_size,lossless_file_size,ae_file_size,enc_time,dec_time,all_enc_time,all_dec_time,memory(GB),bpp,lossless_bpp,ae_bpp,psnr_resolution,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",d3_psnr,d3_mse,rate
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,1009132,1009132,400000.0,4,0,0,1,9166296,9166168,128,8.767,8.431,8.843,8.434,9.95,9.083347,9.08322,0.000127,4095,0.0,inf,0.0,inf,216.3295,0.0,0
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,1009132,1009132,400000.0,4,1,0,1,8761168,5992432,2768736,9.758,10.009,9.872,10.01,9.95,8.681885,5.938204,2.743681,4095,0.143428,85.4499,0.0411892,90.8685,47.2911,283.0868,1
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,1009132,973807,400000.0,4,0,0,3,4179576,4179448,128,6.417,6.255,6.459,6.258,9.95,4.141754,4.141627,0.000127,4095,1.99958,74.0069,0.665046,78.7878,34.0684,1297.3417,2
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,1009132,858043,400000.0,4,1,0,4,1143560,780216,363344,4.544,5.332,4.584,5.334,9.95,1.133212,0.773156,0.360056,4095,9.89261,67.0632,2.78372,72.57,23.41,4425.6354,3
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,1009132,858043,400000.0,4,0,1,4,780472,780216,256,3.872,5.135,3.907,5.136,9.95,0.773409,0.773156,0.000254,4095,11.0572,66.5798,3.22599,71.9297,22.7825,4757.1492,4
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,1009132,858043,400000.0,4,1,1,4,261464,171616,89848,2.997,4.664,3.08,4.666,9.95,0.259098,0.170063,0.089035,4095,20.083,63.988,6.64563,68.7909,22.227,5071.3718,5
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,1009132,858043,400000.0,4,0,2,4,172000,171616,384,2.73,4.641,2.762,4.644,9.95,0.170444,0.170063,0.000381,4095,22.5035,63.4938,8.08843,67.9376,21.0808,5786.7437,6
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,1009132,858043,400000.0,4,1,2,4,66536,45056,21480,2.321,4.401,2.359,4.403,9.95,0.065934,0.044648,0.021286,4095,65.1717,58.8757,42.5154,60.7308,16.5537,9745.1077,7
/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,1009132,858043,400000.0,4,0,3,4,45568,45056,512,2.313,4.64,2.344,4.642,9.95,0.045156,0.044648,0.000507,4095,86.3807,57.6521,47.2498,60.2723,16.6973,9585.3725,8
