filedir,num_points,max_num,n_parts,enc_time,dec_time,bpp,memory(GB),"mseF,PSNR (p2point)","mseF,PSNR (p2plane)",resolution
model_vox11_00000001.ply,2458429,1250000,2,4.6332,4.4019,0.174456,11.23,84.4328,88.725,2047
model_vox11_00000001.ply,2458429,1250000,2,2.4426,3.8844,0.111824,11.23,81.4149,84.3037,2047
model_vox11_00000001.ply,2458429,1250000,2,1.6128,3.0654,0.053849,11.23,79.4965,82.366,2047
model_vox11_00000001.ply,2458429,1250000,2,1.0197,2.934,0.03425,11.23,77.2207,79.2778,2047
model_vox11_00000001.ply,2458429,1250000,2,0.3978,2.457,0.005965,11.23,66.9144,67.5243,2047
model_vox11_00000001.ply,2458429,1250000,2,0.333,2.4966,0.004263,11.23,63.8766,64.5566,2047
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
filedir,num_points,max_num,n_parts,enc_time,dec_time,bpp,memory(GB),"mseF,PSNR (p2point)","mseF,PSNR (p2plane)",resolution
dancer_vox11_00000001.ply,2592758,1250000,4,5.0472,4.9203,0.170225,6.26,84.3517,88.742,2047
dancer_vox11_00000001.ply,2592758,1250000,4,3.0762,4.4217,0.113513,6.26,81.9688,85.3635,2047
dancer_vox11_00000001.ply,2592758,1250000,4,1.9404,3.5595,0.053765,6.26,79.8722,83.2228,2047
dancer_vox11_00000001.ply,2592758,1250000,4,1.4688,3.4632,0.035277,6.26,77.9113,80.5103,2047
dancer_vox11_00000001.ply,2592758,1250000,4,0.7236,2.9304,0.007053,6.26,68.3218,69.0524,2047
dancer_vox11_00000001.ply,2592758,1250000,4,0.5859,2.8494,0.005285,6.26,65.2044,65.9626,2047
