num_points_raw,num_points,max_num,n_parts,scale_AE,scale_SR,posQuantscale,file_size,lossless_file_size,ae_file_size,enc_time,dec_time,all_enc_time,all_dec_time,memory(GB),bpp,lossless_bpp,ae_bpp,psnr_resolution,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",d3_psnr,d3_mse,offset_mseF      (p2point),"offset_mseF,PSNR (p2point)",offset_mseF      (p2plane),"offset_mseF,PSNR (p2plane)",offset_d3_psnr,offset_d3_mse,rate
119389.0,119389.0,120000.0,1.6,0.0,0.0,1.0,1961836.0,1961784.8,51.2,8.518899999999999,7.786,8.5596,7.7866,7.092999999999999,16.464386100000002,16.4639632,0.00042290000000000003,30000.0,0.0,inf,0.0,inf,216.3295,0.0,0.0,inf,0.0,inf,216.3295,0.0,0.0
119389.0,119387.8,120000.0,1.6,0.0,0.0,2.0,1648576.8,1648525.6,51.2,7.362,6.722399999999999,7.4123,6.722800000000001,7.092999999999999,13.8397602,13.8393372,0.00042290000000000003,30000.0,1.500953,92.54997,0.5010393000000001,97.31498,74.30036000000001,13.262650000000002,1.5033400000000001,92.54309999999998,0.5020118,97.30659999999997,74.29365,13.271079999999998,1.0
119389.0,119372.9,120000.0,1.6,0.0,0.0,4.0,1321060.0,1321008.8,51.2,5.753700000000001,5.172399999999999,5.8157000000000005,5.172700000000001,7.092999999999999,11.0963344,11.0959115,0.00042290000000000003,30000.0,4.501102999999999,87.78044,1.499483,92.55421999999999,69.22223,26.646790000000003,4.540193,87.74296000000001,1.5091259999999997,92.52647,69.19543000000002,26.727459999999997,2.0
119389.0,119067.5,120000.0,1.6,0.0,0.0,8.0,1023490.4,1023439.2,51.2,4.240900000000001,3.9220000000000006,4.270899999999999,3.9221999999999992,7.092999999999999,8.6037102,8.6032873,0.00042290000000000003,30000.0,16.49303,82.14064999999998,5.491664000000001,86.9166,54.78308,226.75813999999997,15.963140000000001,82.28271000000001,5.2241290000000005,87.13378999999999,54.803309999999996,225.70953,3.0
119389.0,116035.0,120000.0,1.6,0.0,0.0,16.0,750303.2,750252.0,51.2,2.7986999999999997,2.5157,2.8423000000000003,2.5162,7.092999999999999,6.3158303,6.3154074,0.00042290000000000003,30000.0,64.51665,76.21694,21.46876,80.99561999999999,32.76296000000001,1873.3906400000008,53.08464999999999,77.06888000000001,16.16639,82.23111,32.779849999999996,1868.0946699999997,4.0
119389.0,101247.9,120000.0,1.6,0.0,0.0,32.0,494952.8,494901.6,51.2,1.8755,1.7665000000000002,1.8986000000000005,1.7672,7.092999999999999,4.1769081,4.176485,0.00042290000000000003,30000.0,256.33149999999995,70.22562,85.70129,74.98392,18.81288,7876.824889999999,186.09769999999997,71.62915000000001,52.699439999999996,77.10812999999999,18.826690000000003,7861.62556,5.0
119389.0,74537.6,120000.0,1.6,0.0,0.0,64.0,288251.2,288200.0,51.2,1.6224000000000003,1.4727000000000001,1.6610999999999998,1.4730999999999999,7.092999999999999,2.4398784,2.4394553,0.00042290000000000003,30000.0,1021.1253999999999,64.22296999999999,343.831,68.95038,12.86758,15194.22091,705.1461,65.84031,187.9017,71.59149,12.8846,15163.889560000001,6.0
119389.0,45743.9,120000.0,1.6,0.0,0.0,128.0,148346.4,148295.2,51.2,1.3208999999999997,1.1661000000000001,1.3559,1.1667,7.092999999999999,1.2614169,1.260994,0.00042290000000000003,30000.0,4126.5830000000005,58.15812000000001,1408.071,62.830780000000004,10.35494,20119.670089999996,2862.3179999999998,59.75295,689.4971,65.9478,10.365300000000001,20096.478349999998,7.0
119389.0,23739.6,120000.0,1.6,0.0,0.0,256.0,69172.8,69121.6,51.2,1.0443000000000002,0.9003,1.1047,0.9006000000000001,7.092999999999999,0.5901279,0.589705,0.00042290000000000003,30000.0,16027.4,52.265930000000004,5543.2699999999995,56.878190000000004,9.42041,22358.0444,11697.429999999998,53.63962999999999,2575.198,60.239059999999995,9.42925,22336.083860000002,8.0
119389.0,10774.8,120000.0,1.6,0.0,0.0,512.0,30128.8,30077.6,51.2,0.8646999999999998,0.7436999999999999,0.9052,0.744,7.092999999999999,0.2565074,0.25608439999999993,0.00042290000000000003,30000.0,65470.81999999999,46.161840000000005,22626.899999999998,50.77873999999999,9.16024,23031.9993,46052.88,47.68348,9365.224,54.607569999999996,9.166649999999999,23015.46679,9.0
