filename,filedir,qp,num_points,Enc_Slice number,Enc_positions bitstream size,Enc_positions processing time (user),Enc_colors bitstream size,Enc_colors processing time (user),Enc_Total bitstream size,Enc_Processing time (wall),Enc_Processing time (user),Dec_positions bitstream size,Dec_positions processing time (user),Dec_colors bitstream size,Dec_colors processing time (user),Dec_Total bitstream size,Dec_Processing time (wall),Dec_Processing time (user),runtime,enctime,dectime,bpp_geo,bpp_att,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
Thaidancer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/8iVFB_viewdep_vox12/Thaidancer_viewdep_vox12.ply,22,3130215,6.0,329546.0,10.666,350270.0,16.209,679928.0,35.643,31.097,329546.0,3.7009999999999996,350270.0,14.123999999999999,679928.0,25.474,18.33,61.146,35.655,25.491,0.842,0.895,0.0,inf,0.0,inf,5.23359e-05,1.80614e-05,1.79746e-05,42.812,47.4325,47.4534,42.812,43.97
Thaidancer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/8iVFB_viewdep_vox12/Thaidancer_viewdep_vox12.ply,28,3130215,6.0,329546.0,10.652000000000001,179270.0,16.933,508928.0,36.253,31.771,329546.0,3.901,179270.0,14.337,508928.0,25.552,18.681,61.835,36.267,25.568,0.842,0.458,0.0,inf,0.0,inf,0.000127779,3.51894e-05,3.49865e-05,38.9354,44.5359,44.561,38.935,40.339
Thaidancer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/8iVFB_viewdep_vox12/Thaidancer_viewdep_vox12.ply,34,3130215,6.0,329546.0,10.672,87480.0,16.166999999999998,417138.0,35.433,30.864,329546.0,3.9909999999999997,87480.0,14.37,417138.0,25.598,18.817,61.06,35.448,25.612,0.842,0.224,0.0,inf,0.0,inf,0.000303711,7.55489e-05,7.43551e-05,35.1754,41.2177,41.2869,35.175,36.695
Thaidancer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/8iVFB_viewdep_vox12/Thaidancer_viewdep_vox12.ply,40,3130215,6.0,329546.0,11.120999999999999,37958.0,16.628,367616.0,36.88,32.241,329546.0,3.7939999999999996,37958.0,14.878,367616.0,26.619,19.151,63.528,36.894,26.634,0.842,0.097,0.0,inf,0.0,inf,0.000716129,0.000155175,0.000151735,31.4501,38.0918,38.1891,31.45,33.123
Thaidancer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/8iVFB_viewdep_vox12/Thaidancer_viewdep_vox12.ply,46,3130215,6.0,329546.0,10.648000000000001,13919.0,16.693,343577.0,35.887,31.412,329546.0,3.902,13919.0,14.369000000000002,343577.0,25.682,18.717,61.6,35.903,25.697,0.842,0.036,0.0,inf,0.0,inf,0.00150206,0.000299259,0.000287335,28.2331,35.2395,35.4161,28.233,30.007
Thaidancer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/8iVFB_viewdep_vox12/Thaidancer_viewdep_vox12.ply,51,3130215,6.0,329546.0,10.395999999999999,5037.0,16.083,334695.0,35.069,30.549,329546.0,3.696,5037.0,14.393999999999998,334695.0,26.286,18.69,61.384,35.082,26.302,0.842,0.013,0.0,inf,0.0,inf,0.00247488,0.000472257,0.000447186,26.0645,33.2582,33.4951,26.064,27.893
