filename,filedir,qp,num_points,Enc_Slice number,Enc_positions bitstream size,Enc_positions processing time (user),Enc_colors bitstream size,Enc_colors processing time (user),Enc_Total bitstream size,Enc_Processing time (wall),Enc_Processing time (user),Dec_positions bitstream size,Dec_positions processing time (user),Dec_colors bitstream size,Dec_colors processing time (user),Dec_Total bitstream size,Dec_Processing time (wall),Dec_Processing time (user),runtime,enctime,dectime,bpp_geo,bpp_att,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
House_without_roof_00057_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,22,4848745,6.0,3037842.0,26.245,902613.0,30.660999999999998,3940563.0,76.139,63.874,3037842.0,12.243000000000002,902613.0,27.410999999999998,3940563.0,51.905,40.283,128.076,76.153,51.922,5.012,1.489,0.0,inf,0.0,inf,8.39365e-05,2.95669e-05,2.56275e-05,40.7605,45.2919,45.9129,40.761,41.971
House_without_roof_00057_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,28,4848745,6.0,3037842.0,26.380000000000003,444473.0,30.639000000000003,3482423.0,70.335,63.981,3037842.0,12.348,444473.0,27.105,3482423.0,52.243,40.082,122.609,70.351,52.258,5.012,0.733,0.0,inf,0.0,inf,0.000225328,4.83494e-05,3.96704e-05,36.4718,43.1561,44.0153,36.472,38.25
House_without_roof_00057_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,34,4848745,6.0,3037842.0,26.999,165359.0,31.212,3203309.0,72.851,65.816,3037842.0,12.088000000000001,165359.0,27.177000000000003,3203309.0,51.604,39.914,124.48,72.864,51.615,5.012,0.273,0.0,inf,0.0,inf,0.00060229,7.2571e-05,5.45561e-05,32.2019,41.3924,42.6316,32.202,34.654
House_without_roof_00057_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,40,4848745,6.0,3037842.0,26.255,48086.0,30.262,3086036.0,70.066,63.483,3037842.0,12.068,48086.0,26.907,3086036.0,51.718,39.644,121.822,70.085,51.737,5.012,0.079,0.0,inf,0.0,inf,0.00122193,9.76352e-05,6.57618e-05,29.1295,40.1039,41.8203,29.13,32.088
House_without_roof_00057_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,46,4848745,6.0,3037842.0,26.364,14325.0,30.452,3052275.0,70.464,63.787,3037842.0,12.201,14325.0,27.08,3052275.0,51.533,39.921,122.029,70.482,51.547,5.012,0.024,0.0,inf,0.0,inf,0.00196676,0.000127141,7.74613e-05,27.0625,38.9571,41.1092,27.062,30.305
House_without_roof_00057_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,51,4848745,6.0,3037842.0,26.186,5654.0,30.269,3043604.0,70.228,63.399,3037842.0,12.043000000000001,5654.0,27.042,3043604.0,52.221,39.74,122.484,70.245,52.239,5.012,0.009,0.0,inf,0.0,inf,0.00268397,0.000159496,8.84878e-05,25.7122,37.9725,40.5312,25.712,29.097
