filename,filedir,qp,num_points,Enc_Slice number,Enc_positions bitstream size,Enc_positions processing time (user),Enc_colors bitstream size,Enc_colors processing time (user),Enc_Total bitstream size,Enc_Processing time (wall),Enc_Processing time (user),Dec_positions bitstream size,Dec_positions processing time (user),Dec_colors bitstream size,Dec_colors processing time (user),Dec_Total bitstream size,Dec_Processing time (wall),Dec_Processing time (user),runtime,enctime,dectime,bpp_geo,bpp_att,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
Shiva_00035_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,22,1009132,1.0,1193857.0,7.372,548159.0,7.738,1742074.0,18.597,15.638,1193857.0,3.782,548159.0,6.894,1742074.0,13.282,10.806,31.945,18.614,13.331,9.464,4.346,0.0,inf,0.0,inf,0.000114368,7.43682e-05,6.6858e-05,39.4169,41.2861,41.7485,39.417,39.942
Shiva_00035_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,28,1009132,1.0,1193857.0,7.493,319360.0,7.674,1513275.0,17.431,15.701,1193857.0,3.789,319360.0,6.833,1513275.0,13.298,10.756,30.761,17.448,13.313,9.464,2.532,0.0,inf,0.0,inf,0.000386772,0.000166812,0.000130355,34.1255,37.7777,38.8487,34.126,35.172
Shiva_00035_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,34,1009132,1.0,1193857.0,7.364,153506.0,7.534,1347421.0,16.883,15.477,1193857.0,3.536,153506.0,6.749,1347421.0,12.932,10.417,29.845,16.9,12.945,9.464,1.217,0.0,inf,0.0,inf,0.00139128,0.000315663,0.000215723,28.5659,35.0078,36.661,28.566,30.383
Shiva_00035_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,40,1009132,1.0,1193857.0,7.357,53087.0,7.57,1247002.0,16.953,15.496,1193857.0,3.529,53087.0,6.687,1247002.0,12.946,10.333,29.956,16.971,12.985,9.464,0.421,0.0,inf,0.0,inf,0.00401013,0.000488037,0.00031344,23.9684,33.1155,35.0385,23.968,26.496
Shiva_00035_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,46,1009132,1.0,1193857.0,7.396,12998.0,7.61,1206913.0,17.552,15.735,1193857.0,3.709,12998.0,6.737,1206913.0,13.165,10.589,30.75,17.57,13.18,9.464,0.103,0.0,inf,0.0,inf,0.00797781,0.000698558,0.000425025,20.9812,31.558,33.7159,20.981,23.895
Shiva_00035_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,51,1009132,1.0,1193857.0,7.357,4441.0,7.533,1198356.0,17.25,15.428,1193857.0,3.971,4441.0,6.683,1198356.0,13.317,10.768,30.671,17.323,13.348,9.464,0.035,0.0,inf,0.0,inf,0.0112761,0.000905631,0.000515703,19.4784,30.4305,32.876,19.478,22.522
