filename,filedir,qp,num_points,Enc_Slice number,Enc_positions bitstream size,Enc_positions processing time (user),Enc_colors bitstream size,Enc_colors processing time (user),Enc_Total bitstream size,Enc_Processing time (wall),Enc_Processing time (user),Dec_positions bitstream size,Dec_positions processing time (user),Dec_colors bitstream size,Dec_colors processing time (user),Dec_Total bitstream size,Dec_Processing time (wall),Dec_Processing time (user),runtime,enctime,dectime,bpp_geo,bpp_att,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
loot_viewdep_vox12,/home/temp/wjq/dataset/shared/object/8iVFB_viewdep_vox12/loot_viewdep_vox12.ply,22,3017285,5.0,1123523.0,14.878000000000002,99099.0,19.389,1222720.0,44.829,37.958,1123523.0,6.999,99099.0,17.865000000000002,1222720.0,32.31,25.323,77.167,44.843,32.324,2.979,0.263,0.0,inf,0.0,inf,3.13542e-05,5.33572e-06,4.96515e-06,45.037,52.7281,53.0407,45.037,46.999
loot_viewdep_vox12,/home/temp/wjq/dataset/shared/object/8iVFB_viewdep_vox12/loot_viewdep_vox12.ply,28,3017285,5.0,1123523.0,15.625,48467.0,19.192,1172088.0,42.142,37.894,1123523.0,7.361,48467.0,18.559,1172088.0,33.309,26.37,75.479,42.156,33.323,2.979,0.129,0.0,inf,0.0,inf,6.32859e-05,7.35929e-06,6.82024e-06,41.9869,51.3316,51.662,41.987,44.364
loot_viewdep_vox12,/home/temp/wjq/dataset/shared/object/8iVFB_viewdep_vox12/loot_viewdep_vox12.ply,34,3017285,5.0,1123523.0,15.535,22357.0,20.234,1145978.0,43.76,38.85,1123523.0,6.651,22357.0,17.503,1145978.0,31.427,24.587,75.213,43.77,31.443,2.979,0.059,0.0,inf,0.0,inf,0.000134139,1.07365e-05,1.0216e-05,38.7244,49.6914,49.9072,38.724,41.493
loot_viewdep_vox12,/home/temp/wjq/dataset/shared/object/8iVFB_viewdep_vox12/loot_viewdep_vox12.ply,40,3017285,5.0,1123523.0,15.252,9282.0,20.656,1132903.0,44.161,39.696,1123523.0,6.563,9282.0,17.27,1132903.0,31.455,24.261,75.644,44.175,31.469,2.979,0.025,0.0,inf,0.0,inf,0.00027902,1.65606e-05,1.64049e-05,35.5437,47.8092,47.8503,35.544,38.615
loot_viewdep_vox12,/home/temp/wjq/dataset/shared/object/8iVFB_viewdep_vox12/loot_viewdep_vox12.ply,46,3017285,5.0,1123523.0,15.133,3414.0,19.32,1127035.0,41.733,37.556,1123523.0,6.786,3414.0,17.165,1127035.0,31.61,24.426,73.372,41.746,31.625,2.979,0.009,0.0,inf,0.0,inf,0.00051667,2.59821e-05,2.79711e-05,32.8679,45.8533,45.5329,32.868,36.074
loot_viewdep_vox12,/home/temp/wjq/dataset/shared/object/8iVFB_viewdep_vox12/loot_viewdep_vox12.ply,51,3017285,5.0,1123523.0,15.697,1506.0,19.500999999999998,1125127.0,42.645,38.267,1123523.0,6.471,1506.0,17.055,1125127.0,31.007,23.981,73.677,42.66,31.018,2.979,0.004,0.0,inf,0.0,inf,0.000771665,3.98442e-05,4.335e-05,31.1257,43.9963,43.6301,31.126,34.298
