num_points_raw,num_points,max_num,n_parts,scale_AE,scale_SR,posQuantscale,file_size,lossless_file_size,ae_file_size,enc_time,dec_time,all_enc_time,all_dec_time,memory(GB),bpp,lossless_bpp,ae_bpp,psnr_resolution,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",d3_psnr,d3_mse,offset_mseF      (p2point),"offset_mseF,PSNR (p2point)",offset_mseF      (p2plane),"offset_mseF,PSNR (p2plane)",offset_d3_psnr,offset_d3_mse,rate
83320.3,83320.3,120000.0,1.0,0.0,0.0,1.0,1609372.0,1609340.0,32.0,6.9717,6.4579,7.006800000000001,6.458200000000001,5.823,19.2898595,19.289474600000002,0.00038480000000000003,30000.0,0.0,inf,0.0,inf,216.3295,0.0,0.0,inf,0.0,inf,216.3295,0.0,0.0
83320.3,82023.6,120000.0,1.0,0.0,0.0,2.0,1376018.4,1375986.4,32.0,6.104699999999999,5.5082,6.1241,5.508700000000001,5.823,16.490787,16.4904022,0.00038480000000000003,30000.0,1.503422,92.54286,0.5001308999999999,97.32287,26.918599999999998,3097.52387,1.4964780000000002,92.56296,0.49864110000000006,97.33581000000001,26.714399999999994,3171.5572600000005,1.0
83320.3,81462.3,120000.0,1.0,0.0,0.0,4.0,1141518.4,1141486.4,32.0,5.0334,4.6851,5.067200000000001,4.6854000000000005,5.823,13.6776231,13.677238399999998,0.00038480000000000003,30000.0,4.496606,87.78484,1.5006400000000002,92.5509,23.762669999999996,4433.976449999999,4.4851719999999995,87.79587,1.497499,92.55998,23.758509999999998,4435.90002,2.0
83320.3,81183.0,120000.0,1.0,0.0,0.0,8.0,919207.2,919175.2,32.0,3.990900000000001,3.6917,4.027399999999999,3.6921,5.823,11.011573600000002,11.0111886,0.00038480000000000003,30000.0,16.51829,82.13401,5.507915000000001,86.9038,22.532090000000004,5089.572819999999,16.41881,82.16025,5.482640000000001,86.92382,22.5321,5089.5725299999995,3.0
83320.3,80763.6,120000.0,1.0,0.0,0.0,16.0,709327.2,709295.2,32.0,2.9884,2.8442000000000003,3.0091,2.8446000000000002,5.823,8.4953666,8.4949818,0.00038480000000000003,30000.0,64.50394,76.2178,21.45559,80.99824,21.54681,5684.79205,62.27130999999999,76.37078999999999,20.444470000000003,81.20793,21.5468,5684.7982,4.0
83320.3,78623.1,120000.0,1.0,0.0,0.0,32.0,515684.0,515652.0,32.0,2.0513000000000003,1.8582,2.0938000000000003,1.8584,5.823,6.175183,6.174798,0.00038480000000000003,30000.0,256.8021,70.21779000000001,85.24198,75.00713,20.065019999999997,6702.552229999999,217.87380000000002,70.93355,68.55163999999999,75.95446,20.065060000000003,6702.51753,5.0
83320.3,69728.3,120000.0,1.0,0.0,0.0,64.0,328547.2,328515.2,32.0,1.1738,1.0977000000000001,1.1907999999999999,1.098,5.823,3.934926,3.9345411000000006,0.00038480000000000003,30000.0,1027.57,64.19566999999999,339.93,68.99989,16.998920000000002,9397.846,786.9844,65.35839,222.05809999999997,70.85362,17.00049,9396.2755,6.0
83320.3,49368.7,120000.0,1.0,0.0,0.0,128.0,177032.0,177000.0,32.0,1.0384,0.9410999999999999,1.0506999999999997,0.9413,5.823,2.1222041000000003,2.1218190999999997,0.00038480000000000003,30000.0,4078.0080000000003,58.209219999999995,1360.3790000000001,62.97715000000001,12.80944,15091.72914,2977.5900000000006,59.580529999999996,744.5267999999999,65.60466,12.813420000000002,15085.089789999998,7.0
83320.3,27407.7,120000.0,1.0,0.0,0.0,256.0,84358.4,84326.4,32.0,0.8627,0.7637999999999999,0.8775999999999999,0.764,5.823,1.0123684000000002,1.0119835,0.00038480000000000003,30000.0,16310.01,52.18974000000001,5587.318,56.84225,10.473519999999997,19747.001790000002,11578.420000000002,53.68218,2629.518,60.136199999999995,10.478069999999999,19736.81263,8.0
83320.3,12854.0,120000.0,1.0,0.0,0.0,512.0,37935.2,37903.2,32.0,0.7283000000000001,0.6039999999999999,0.7513000000000001,0.6044,5.823,0.45562800000000003,0.4552431,0.00038480000000000003,30000.0,66318.26000000001,46.09843000000001,22689.329999999998,50.756910000000005,9.686300000000001,21637.74839,47293.659999999996,47.56864,10236.780999999999,54.21912999999999,9.69162,21624.5453,9.0
