filedir,num_points_raw,num_points,max_num,n_parts,scale_AE,scale_SR,posQuantscale,file_size,lossless_file_size,ae_file_size,enc_time,dec_time,all_enc_time,all_dec_time,memory(GB),bpp,lossless_bpp,ae_bpp,psnr_resolution,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",d3_psnr,d3_mse,rate
/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/soldier_vox10_0690.ply,1089091,1089091,1200000.0,1,0,0,1,693776,693744,32,1.571,1.435,1.587,1.436,6.99,0.637023,0.636994,2.9e-05,1023,0.0,inf,0.0,inf,216.3295,0.0,0
/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/soldier_vox10_0690.ply,1089091,1089091,1200000.0,1,1,0,1,300488,190880,109608,1.039,1.252,1.047,1.252,6.99,0.275907,0.175265,0.100642,1023,0.0642224,76.8919,0.0243547,81.1029,32.4088,1570.4899,1
/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/soldier_vox10_0690.ply,1089091,1089091,1200000.0,1,0,1,1,190944,190880,64,0.816,1.155,0.935,1.155,6.99,0.175324,0.175265,5.9e-05,1023,0.11759,74.265,0.0548164,77.5796,30.9667,1854.1125,2
/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/soldier_vox10_0690.ply,1089091,1089091,1200000.0,1,1,1,1,87664,57504,30160,0.576,0.917,0.582,0.917,6.99,0.080493,0.0528,0.027693,1023,0.214468,71.6551,0.108148,74.6285,30.0859,2052.0025,3
/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/soldier_vox10_0690.ply,1089091,1089091,1200000.0,1,0,2,1,57600,57504,96,0.486,0.876,0.492,0.876,6.99,0.052888,0.0528,8.8e-05,1023,0.354805,69.4688,0.208302,71.7818,29.0741,2305.5199,4
/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/soldier_vox10_0690.ply,1089091,1089091,1200000.0,1,1,2,1,26528,18488,8040,0.397,0.882,0.429,0.883,6.99,0.024358,0.016976,0.007382,1023,0.842284,65.7141,0.629251,66.9805,26.5191,3093.9888,5
/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/soldier_vox10_0690.ply,1089091,1089091,1200000.0,1,0,3,1,18616,18488,128,0.365,0.807,0.377,0.807,6.99,0.017093,0.016976,0.000118,1023,1.49868,63.2117,1.2313,64.0651,24.1734,4053.2622,6
/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/soldier_vox10_0690.ply,1089091,1089091,1200000.0,1,1,3,1,8936,6872,2064,0.282,0.746,0.291,0.747,6.99,0.008205,0.00631,0.001895,1023,5.36493,57.6731,4.89164,58.0742,20.8987,5909.3183,7
/home/temp/wjq/dataset/shared/object/8iVFB/8iVFB/soldier_vox10_0690.ply,1089091,1089091,1200000.0,1,0,4,1,7032,6872,160,0.312,0.773,0.322,0.775,6.99,0.006457,0.00631,0.000147,1023,7.44344,56.251,6.88196,56.5916,20.1954,6407.6836,8
