bits_gpcc,bits_lossless,bits_lossy,bits,num_points,bpp_gpcc,bpp_lossless,bpp_lossy,bpp,enc_time,dec_time,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",resolution
760.48,299772.32,0.0,300532.8,707731.0,0.0010000000000000002,0.42344000000000004,0.0,0.42452,1.6742500000000005,1.5408800000000002,0.0,inf,0.0,inf,1023.0
760.48,80575.92,49312.72,130649.12,707731.0,0.0010000000000000007,0.11385000000000012,0.06967999999999998,0.1846,1.12096,1.27644,0.047881183,78.167962,0.018624210000000002,82.26900899999997,1023.0
760.48,80575.92,2025.04,83361.44,707731.0,0.0010000000000000007,0.11385000000000012,0.0028500000000000014,0.11777000000000004,1.1379500000000005,1.2775400000000001,0.08424547499999999,75.72154099999996,0.039453638999999985,79.02289599999999,1023.0
760.48,22783.28,22777.44,46321.2,707731.0,0.0010000000000000007,0.03214999999999999,0.03219000000000003,0.06547000000000008,0.8884899999999999,1.15545,0.14185877,73.45097600000003,0.06557307600000004,76.804322,1023.0
760.48,22783.28,3909.76,27453.52,707731.0,0.0010000000000000007,0.03214999999999999,0.005550000000000004,0.038829999999999996,0.8675299999999997,1.16005,0.21882528,71.57099899999999,0.11546926700000004,74.348831,1023.0
760.48,6982.4,95.68,7838.56,707731.0,0.0010000000000000007,0.009830000000000007,0.0,0.011069999999999998,0.5326600000000004,0.9238899999999998,1.1014087899999998,64.590526,0.8832944299999997,65.563243,1023.0
