filedir,decdir,posQuantscale,num_points_raw,num_points,file_size,bpp,enc_time,enc_time_user,enc_time_wall,dec_time,dec_time_user,dec_time_wall,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",d3_psnr,d3_mse,rate
./output/geometry/octree21/mpeg_sparse/Arco_Valentino_Dense_vox12.ply,./output/geometry/octree21/mpeg_sparse/Arco_Valentino_Dense_vox12_R0_rec.ply,1.0,1481746,1481746,14710032,9.927499,22.31,19.659,22.265,11.252,7.56,11.209,0.0,inf,0.0,inf,216.3295,0.0,R0
./output/geometry/octree21/mpeg_sparse/Arco_Valentino_Dense_vox12.ply,./output/geometry/octree21/mpeg_sparse/Arco_Valentino_Dense_vox12_R1_rec.ply,0.75,1481746,1434436,12552376,8.471341,20.329,18.035,20.279,10.722,6.507,10.673,0.500112,80.0256,0.161442,84.9361,34.4143,1246.6879,R1
./output/geometry/octree21/mpeg_sparse/Arco_Valentino_Dense_vox12.ply,./output/geometry/octree21/mpeg_sparse/Arco_Valentino_Dense_vox12_R2_rec.ply,0.5,1481746,1361675,9758656,6.585917,17.985,15.831,17.936,9.161,5.206,9.113,1.50157,75.2508,0.463135,80.3592,27.9287,2630.5002,R2
./output/geometry/octree21/mpeg_sparse/Arco_Valentino_Dense_vox12.ply,./output/geometry/octree21/mpeg_sparse/Arco_Valentino_Dense_vox12_R3_rec.ply,0.25,1481746,1061276,5081632,3.429489,11.717,9.615,11.668,5.66,2.987,5.614,4.50101,70.4832,1.38777,75.5931,22.4338,4952.0062,R3
./output/geometry/octree21/mpeg_sparse/Arco_Valentino_Dense_vox12.ply,./output/geometry/octree21/mpeg_sparse/Arco_Valentino_Dense_vox12_R4_rec.ply,0.125,1481746,606465,1838536,1.24079,7.677,5.11,7.589,2.97,1.178,2.921,16.493,64.8433,4.98528,70.0394,19.69,6791.6543,R4
./output/geometry/octree21/mpeg_sparse/Arco_Valentino_Dense_vox12.ply,./output/geometry/octree21/mpeg_sparse/Arco_Valentino_Dense_vox12_R5_rec.ply,0.0625,1481746,232036,460512,0.31079,4.549,2.654,4.48,1.263,0.341,1.217,64.452,58.9239,18.8446,64.2644,18.7724,7548.3294,R5
./output/geometry/octree21/mpeg_sparse/Arco_Valentino_Dense_vox12.ply,./output/geometry/octree21/mpeg_sparse/Arco_Valentino_Dense_vox12_R6_rec.ply,0.03125,1481746,66131,96272,0.064972,3.671,1.74,3.623,0.361,0.121,0.313,255.198,52.9475,71.8367,58.4528,18.5697,7726.5649,R6
