filedir,decdir,posQuantscale,num_points_raw,num_points,file_size,bpp,enc_time,enc_time_user,enc_time_wall,dec_time,dec_time_user,dec_time_wall,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",d3_psnr,d3_mse,rate
./output/geometry/octree21/mpeg_sparse/Staue_Klimt_vox12.ply,./output/geometry/octree21/mpeg_sparse/Staue_Klimt_vox12_R0_rec.ply,1.0,499660,499660,4734840,9.476124,6.395,5.456,6.342,3.6,2.328,3.55,0.0,inf,0.0,inf,216.3295,0.0,R0
./output/geometry/octree21/mpeg_sparse/Staue_Klimt_vox12.ply,./output/geometry/octree21/mpeg_sparse/Staue_Klimt_vox12_R1_rec.ply,0.75,499660,499100,4230368,8.466493,5.669,4.953,5.609,3.778,2.284,3.73,0.499626,80.0298,0.159812,84.9802,40.5225,617.0865,R1
./output/geometry/octree21/mpeg_sparse/Staue_Klimt_vox12.ply,./output/geometry/octree21/mpeg_sparse/Staue_Klimt_vox12_R2_rec.ply,0.5,499660,497979,3264872,6.534187,5.195,4.494,5.147,2.997,1.768,2.947,1.5003,75.2545,0.441271,80.5692,37.6935,854.6703,R2
./output/geometry/octree21/mpeg_sparse/Staue_Klimt_vox12.ply,./output/geometry/octree21/mpeg_sparse/Staue_Klimt_vox12_R3_rec.ply,0.25,499660,483068,1801144,3.604739,3.995,3.315,3.948,2.338,1.16,2.286,4.49664,70.4874,1.41554,75.5071,30.9254,1862.964,R3
./output/geometry/octree21/mpeg_sparse/Staue_Klimt_vox12.ply,./output/geometry/octree21/mpeg_sparse/Staue_Klimt_vox12_R4_rec.ply,0.125,499660,244127,493272,0.987215,2.283,1.586,2.235,1.008,0.366,0.961,16.5088,64.8391,5.77844,69.3982,13.5136,13829.0267,R4
./output/geometry/octree21/mpeg_sparse/Staue_Klimt_vox12.ply,./output/geometry/octree21/mpeg_sparse/Staue_Klimt_vox12_R5_rec.ply,0.0625,499660,72448,98320,0.196774,1.44,0.75,1.391,0.359,0.098,0.313,64.4744,58.9224,24.3357,63.1539,9.5219,21896.6261,R5
./output/geometry/octree21/mpeg_sparse/Staue_Klimt_vox12.ply,./output/geometry/octree21/mpeg_sparse/Staue_Klimt_vox12_R6_rec.ply,0.03125,499660,17760,22472,0.044975,1.129,0.486,1.082,0.159,0.035,0.114,256.91,52.9185,97.6247,57.1207,8.7472,23939.5393,R6
